job_number,job_type,job_description,units_init,units_prop,units_net,units_complete,co_latest_units,address,bbl,flag,outlier
220611504,Alteration,"MINOR INTERIOR WORK TO EXISTING OFFICES AS PER PLAN AND TO REMEDY ECB VIOL. #34386361L, NO CHANGE TO USE, EGRESS OR OCCUPANCY.",99,99,0,,,750 GRAND CONCOURSE,2024580026,top 10 units_prop Alteration,
310230568,Alteration,FILING TO OBTAIN NEW CERTIFICATE OF OCCUPANCY. CLOSE EXISTING DEMISING WALL.,9999,9999,0,,,1971 86 STREET,3063450040,top 10 units_prop Alteration,
320321362,Alteration,CHANGE OF USE TO CONVERT EXISTING BUILDING FROM COMMERCIAL TO RESIDENTIAL. RELOCATING FLOOR AREA TO CREATE ADDITION OF 7TH FLOOR. NO INCREASE OF ZONING F LOOR AREA OF BUIDLING. GENERAL CONSTRUCTION AND PARTIAL DEMOLITION THROUGHOUT.,0,94,94,94,94,30 WASHINGTON STREET,3000270040,top 20 units_net A1,
320350909,Alteration,PROPOSED CONVERSION OF EXISTING CHURCH (EAST WING OF BUILDING) AND VERTICAL ADDITION OF EXISTING SCHOOL (WEST WING OF BUILDING) TO RESIDENTIAL USE CLASS 'A' DWELLING UNITS.,0,92,92,92,92,163 NORTH 6TH STREET,3023280015,top 20 units_net A1,
320374288,Alteration,"HEREWITH FILING TO CONVERT AN EXISTING FOURTEEN (14) STORY COMMUNITY FACILITY/MULTIPLE DWELLING INTO A HOTEL.  PLANS FILED FOR ZONING, EGRESS AND CODE COMPLIANCE.  A NEW CERTIFICATE OF OCCUPANCY TO BE OBTAINED.",105,0,-105,,,98 MONTAGUE STREET,3002480015,job_type= A1 and units_net < -50,
320374304,Alteration,"HEREWITH FILING TO CONVERT AN EXISTING FOURTEEN (14) STORY COMMUNITY FACILITY/MULTIPLE DWELLING INTO A HOTEL.  PLANS FILED FOR ZONING, EGRESS AND CODE COMPLIANCE.  A NEW CERTIFICATE OF OCCUPANCY TO BE OBTAINED.",223,0,-223,-223,284,98 MONTAGUE STREET,3002480015,job_type= A1 and units_net < -50,
320914285,Alteration,"PROPOSED TO OBTAIN AN AMENDED C OF O FOR THE EXISTING 5 STORY BUILDING, TO CHANGE NUMBER OF DWELLING UNITS AT RESIDENTIAL BUILDING.",50,0,-50,,,101 SUTTON STREET,3026580026,job_type= A1 and units_net < -50,
321049307,Alteration,HEREWITH FILING MAJOR RENOVATION FOR CELLAR AND FIRST FLOOR AS INDICATED O N DRAWINGS.,70,0,-70,,,8315 4TH AVENUE,3060180001,job_type= A1 and units_net < -50,
321930979,Alteration,SUBDIVIDE EXISTING HOSPITAL AND GARAGE BUILDING INTO TWO SEPARATE BUILDINGS. THIS APPLICATION FILED FOR GARAGE BUILDING (TENTATIVE LOT 30).,111,0,-111,,,240 WILLOUGHBY STREET,3020880025,job_type= A1 and units_net < -50,
321952080,Demolition,PROPOSED DEMOLITION TO EXISTING 3 STORY RESIDENTIAL BUILDING.,30,0,-30,-30,,61 METROPOLITAN AVENUE,3023570029,job_type= DM and units_init > 19,
321952099,Demolition,PROPOSED DEMOLITION TO EXISTING 2 STORY RESIDENTIAL BUILDING.,30,0,-30,-30,,63 METROPOLITAN AVENUE,3023570029,job_type= DM and units_init > 19,
321976698,Demolition,FILING FOR THE FULL DEMOLITION OF BUILDING.,39,0,-39,,,432 KNICKERBOCKER AVENUE,3032780033,job_type= DM and units_init > 19,
420666363,New Building,"NEW MIXED USE BUILDING WITH COMMERCIAL, RESIDENTIAL AND HOTEL USE",0,240,240,,,42-50 24TH STREET,4004280001,job_description contains both %RESID% AND %HOTEL%,
420902072,Alteration,WE RESPECTFULLY WISH TO FILE APPLICATION TO CORRECT PRIOR CERTIFICATE OF OCCUPANCY.WE ARE SHOWING THAT WE HAVE A BASEMENT NOT A CELLAR.WE ARE SUBMITTING A NEW SCHEDULE A TO SHOW OUR CHANGE.  THERE IS NO PHYSICAL WORK ON THIS APPLICATION.THIS APPLICATION IS FOR DOCUMENTATION ONLY.,158,0,-158,,,144-25 ROOSEVELT AVE,4050240080,job_type= A1 and units_net < -50,
